UF,V1022,V2001,V2005,V2007,V2009,V2010,V3001,V3009A,VD4019
23.0,1.0,5.0,1.0,2.0,38.0,4.0,1.0,12.0,
23.0,1.0,5.0,5.0,2.0,4.0,4.0,,,
23.0,2.0,3.0,1.0,1.0,30.0,4.0,1.0,10.0,1500.0
23.0,2.0,3.0,1.0,1.0,47.0,4.0,1.0,7.0,1320.0
23.0,2.0,2.0,1.0,1.0,22.0,4.0,1.0,10.0,660.0
23.0,2.0,1.0,1.0,2.0,48.0,4.0,1.0,10.0,1320.0
23.0,1.0,5.0,1.0,1.0,49.0,1.0,1.0,,
23.0,1.0,4.0,1.0,2.0,62.0,1.0,1.0,5.0,
23.0,2.0,1.0,1.0,2.0,63.0,4.0,2.0,3.0,
23.0,2.0,3.0,1.0,1.0,63.0,4.0,1.0,6.0,500.0
23.0,2.0,3.0,5.0,1.0,17.0,4.0,1.0,,80.0
23.0,1.0,2.0,1.0,2.0,50.0,4.0,1.0,10.0,1500.0
23.0,1.0,5.0,10.0,2.0,3.0,4.0,,,
23.0,1.0,3.0,1.0,1.0,74.0,4.0,1.0,7.0,
23.0,1.0,4.0,4.0,2.0,39.0,1.0,1.0,,
23.0,1.0,8.0,2.0,1.0,39.0,4.0,1.0,10.0,1320.0
23.0,1.0,3.0,1.0,2.0,85.0,4.0,2.0,7.0,
23.0,1.0,3.0,4.0,1.0,62.0,4.0,2.0,,
23.0,1.0,4.0,1.0,1.0,49.0,4.0,1.0,7.0,180.0
23.0,1.0,4.0,2.0,2.0,35.0,4.0,1.0,12.0,
23.0,1.0,2.0,1.0,2.0,53.0,1.0,1.0,8.0,70.0
23.0,1.0,2.0,5.0,1.0,15.0,1.0,1.0,,
23.0,1.0,2.0,1.0,2.0,72.0,1.0,1.0,7.0,
23.0,1.0,2.0,10.0,2.0,20.0,1.0,1.0,,
23.0,1.0,2.0,1.0,1.0,71.0,1.0,1.0,9.0,
23.0,2.0,3.0,2.0,2.0,29.0,4.0,1.0,10.0,
23.0,2.0,2.0,1.0,1.0,69.0,4.0,2.0,,
23.0,2.0,2.0,2.0,1.0,40.0,4.0,1.0,7.0,1300.0
